5.121261	5.121261	left
5.990826	5.990826	right
8.599522	8.599522	up
9.469087	9.469087	up
12.077783	12.077783	left
12.512565	12.512565	up
12.947348	12.947348	right
13.382130	13.382130	down
13.816913	13.816913	left
19.034304	19.034304	left
19.903870	19.903870	right
22.510801	22.510801	up
23.381456	23.381456	down
26.425609	26.425609	right
26.860391	26.860391	up
27.295174	27.295174	left
27.729957	27.729957	down
29.469087	29.469087	up
30.120591	30.120591	up
30.773435	30.773435	up
32.947348	32.947348	down
34.686478	34.686478	left
36.425609	36.425609	up
36.860391	36.860391	right
37.295174	37.295174	down
37.729957	37.729957	left
39.469087	39.469087	down
39.903870	39.903870	down
42.077783	42.077783	up
43.382130	43.382130	down
46.860391	46.860391	left
48.381352	48.381352	right
49.034304	49.034304	right
49.469087	49.469087	right
49.903870	49.903870	right
50.338652	50.338652	left 
53.816913	53.816913	left
54.251696	54.251696	down
54.686478	54.686478	right
55.121261	55.121261	up
55.556043	55.556043	left
57.295174	57.295174	left
58.164739	58.164739	right
60.773435	60.773435	left
61.643000	61.643000	right
64.251696	64.251696	up
66.002004	66.002004	down
67.729957	67.729957	left
68.164739	68.164739	up
68.599522	68.599522	right
69.034304	69.034304	up
69.469087	69.469087	left
69.903870	69.903870	down
70.338652	70.338652	right
70.773435	70.773435	left
71.208217	71.208217	right
72.077783	72.077783	left
74.686478	74.686478	right
75.556043	75.556043	left
78.599522	78.599522	up
79.034304	79.034304	down
79.469087	79.469087	up
79.903870	79.903870	down
81.643000	81.643000	left
82.077783	82.077783	right
82.512565	82.512565	left
82.947348	82.947348	right
83.382130	83.382130	left
83.816913	83.816913	right
85.121261	85.121261	up
86.860391	86.860391	down
88.599522	88.599522	up
89.034304	89.034304	down
89.469087	89.469087	up
89.903870	89.903870	down
90.338652	90.338652	left
90.773435	90.773435	right
91.208217	91.208217	left
91.643000	91.643000	right
92.077783	92.077783	up
94.251696	94.251696	down
94.686478	94.686478	down
95.121261	95.121261	down
95.556043	95.556043	down
97.729957	97.729957	up
98.164739	98.164739	up
98.599522	98.599522	up
99.034304	99.034304	up
102.512565	102.512565	left
103.176946	103.176946	right
103.612306	103.612306	left
104.251696	104.251696	up
104.686478	104.686478	down
105.121261	105.121261	left
105.556043	106.427833	right
106.427833	107.294573	left
107.729957	107.729957	up
108.164739	108.164739	down
108.599522	108.599522	up
109.034304	109.034304	down
109.469087	109.469087	left
110.338652	110.338652	right
