6.087634	6.087634	left
6.462211	6.462211	right
6.837568	6.837568	left
8.334820	8.334820	left
9.087314	9.087314	right
9.461725	9.461725	left
9.837137	9.837137	right
11.335391	11.335391	right
12.087329	12.087329	left
12.461572	12.461572	right
12.837374	12.837374	left
14.337019	14.337019	left
15.087399	15.087399	right
15.461865	15.461865	left
15.835885	15.835885	right
17.337284	17.337284	right
18.086578	18.086578	up
21.087316	21.087316	down
24.086940	24.835205	left
25.587584	26.337188	right
27.087233	27.837612	left
28.587262	29.336757	right
30.087192	30.837237	left
31.587192	32.337216	right
32.712211	32.712211	up
33.087150	33.836528	left
33.836528	33.836528	down
34.587108	35.335692	right
35.335692	35.335692	up
36.087401	36.837408	left
36.837408	36.837408	down
39.082628	39.082628	left
39.462167	39.462167	up
39.837240	39.837240	right
41.337086	41.337086	down
42.087009	42.087009	right
42.462529	42.462529	down
42.837379	42.837379	left
44.335997	44.335997	up
48.464817	51.087650	right
50.337587	50.337587	up
51.087650	54.087789	left
53.337657	53.337657	down
